"Timestamp","Age","Gender","Year of Study","Discipline/Field","What is your anxiety level before exams or academic presentations?","How often do you feel depressed during your studies?","How do you rate your self-esteem while handling academic challenges?","I experience physical symptoms (headache, stomachache) before exams or presentations","I push myself to meet the deadlines even when it negatively affects my sleep quality or health","How supportive are your family and friends in your studies?","How often do you feel pressured by your classmates or peers about your academic performance?","Background noise distracts me during study.","Poor lighting in my room or home study area makes my living conditions for studying harder.","Lack of basic needs (water, electricity, and internet) causes me stress during studies.","How heavy is your study load when maintaining a CGPA?","I feel my relationship with teachers is affected by my lower grades.","I worry that low grades may negatively affect my future career."
"2025/09/12 3:31:53 pm GMT+5","20 - 22","Male","3rd Semester ","BSCS","2","1","2","1","2","1","2","3","1","2","2","2","2"
"2025/09/13 11:50:06 am GMT+5","20 - 22","Female","Second Year","Computer science ","2","1","2","1","3","3","1","3","3","3","2","2","3"
"2025/09/13 12:23:50 pm GMT+5","20 - 22","Male","Second Year","CS","3","2","2","3","3","0","1","3","3","3","3","2","3"
"2025/09/13 12:54:36 pm GMT+5","20 - 22","Female","Second Year","Computer science ","2","3","2","1","1","2","3","3","1","3","2","2","2"
"2025/09/13 1:14:08 pm GMT+5","20 - 22","Female","Second Year","Cs","2","1","1","1","3","3","0","2","3","2","3","0","3"
"2025/09/13 2:09:16 pm GMT+5","23 - 25","Male","Second Year","Computer Science","3","1","0","3","3","3","2","3","0","0","3","3","3"
"2025/09/13 2:16:06 pm GMT+5","20 - 22","Male","Second Year","Cs","2","1","2","1","2","3","1","2","0","0","1","2","1"
"2025/09/13 5:46:58 pm GMT+5","20 - 22","Male","Second Year","IT/CS/Software/AI","3","1","2","3","3","3","3","3","3","2","3","3","3"
"2025/09/13 5:52:10 pm GMT+5","20 - 22","Male","Second Year","IT/CS/Software/AI","2","3","2","2","3","3","3","3","3","3","2","3","3"
"2025/09/13 6:01:41 pm GMT+5","20 - 22","Male","Second Year","IT/CS/Software/AI","2","0","1","0","0","3","0","2","1","0","2","1","1"
"2025/09/13 6:03:54 pm GMT+5","20 - 22","Male","Second Year","IT/CS/Software/AI","3","2","3","1","1","0","2","1","0","0","3","0","3"
"2025/09/13 6:38:51 pm GMT+5","20 - 22","Female","Second Year","IT/CS/Software/AI","2","1","3","1","3","2","2","3","1","3","2","1","3"
"2025/09/13 6:42:43 pm GMT+5","20 - 22","Male","Second Year","IT/CS/Software/AI","2","0","3","0","3","3","3","3","2","1","2","0","3"
"2025/09/13 6:44:12 pm GMT+5","17 - 19","Female","Second Year","IT/CS/Software/AI","3","2","1","3","2","3","2","3","1","2","2","3","3"
"2025/09/13 6:50:19 pm GMT+5","17 - 19","Female","Second Year","IT/CS/Software/AI","2","2","0","3","2","3","1","1","2","0","0","0","3"
"2025/09/13 6:59:46 pm GMT+5","20 - 22","Female","First Year","IT/CS/Software/AI","3","1","1","2","1","3","2","0","1","2","1","3","1"
"2025/09/13 7:04:37 pm GMT+5","20 - 22","Female","Second Year","Natural Sciences/Social Sciences","3","2","2","2","2","3","3","2","2","1","2","2","3"
"2025/09/13 7:06:37 pm GMT+5","20 - 22","Male","Second Year","IT/CS/Software/AI","3","1","1","0","3","3","1","0","0","0","2","1","0"
"2025/09/13 7:09:05 pm GMT+5","20 - 22","Female","Second Year","IT/CS/Software/AI","1","2","1","1","1","3","3","2","3","1","2","3","2"
"2025/09/13 7:11:46 pm GMT+5","20 - 22","Female","Second Year","Natural Sciences/Social Sciences","3","1","3","0","3","3","0","3","3","3","3","1","3"
"2025/09/13 7:13:54 pm GMT+5","20 - 22","Female","Second Year","Natural Sciences/Social Sciences","3","2","2","1","1","2","1","3","2","3","2","2","3"
"2025/09/13 7:18:15 pm GMT+5","20 - 22","Female","Second Year","Natural Sciences/Social Sciences","1","3","2","1","2","2","3","3","3","2","3","1","3"
"2025/09/13 7:36:43 pm GMT+5","17 - 19","Female","Second Year","IT/CS/Software/AI","3","3","1","3","2","1","3","3","3","1","3","3","3"
"2025/09/13 7:37:35 pm GMT+5","20 - 22","Female","Fourth Year","Natural Sciences/Social Sciences","3","3","2","2","3","3","1","3","3","3","3","2","3"
"2025/09/13 7:40:05 pm GMT+5","20 - 22","Male","Second Year","IT/CS/Software/AI","0","3","2","0","3","2","1","1","2","0","1","0","0"
"2025/09/13 7:43:26 pm GMT+5","20 - 22","Female","Second Year","Natural Sciences/Social Sciences","3","3","2","2","3","1","2","2","0","1","3","2","3"
"2025/09/13 7:46:33 pm GMT+5","20 - 22","Female","Second Year","Natural Sciences/Social Sciences","1","1","0","2","0","2","2","2","2","1","3","1","2"
"2025/09/13 7:47:05 pm GMT+5","23 - 25","Male","Fourth Year","Natural Sciences/Social Sciences","2","2","3","1","2","2","0","2","2","1","3","2","2"
"2025/09/13 7:47:35 pm GMT+5","20 - 22","Female","Second Year","IT/CS/Software/AI","3","1","3","3","0","1","3","3","2","0","1","2","0"
"2025/09/13 7:48:07 pm GMT+5","20 - 22","Female","First Year","Natural Sciences/Social Sciences","3","2","0","1","1","2","2","1","0","0","0","1","1"
"2025/09/13 7:57:46 pm GMT+5","20 - 22","Male","Second Year","IT/CS/Software/AI","1","2","3","0","1","3","0","0","0","0","0","1","0"
"2025/09/13 7:58:53 pm GMT+5","20 - 22","Male","Fourth Year","Natural Sciences/Social Sciences","1","1","3","1","1","3","0","2","2","3","2","1","2"
"2025/09/13 8:09:00 pm GMT+5","17 - 19","Female","Second Year","Civil/Mechanical Engineering","1","2","1","1","1","3","1","2","1","2","2","1","0"
"2025/09/13 8:18:43 pm GMT+5","20 - 22","Female","Second Year","Natural Sciences/Social Sciences","3","2","1","3","2","3","3","3","2","3","3","3","3"
"2025/09/13 8:25:53 pm GMT+5","20 - 22","Female","First Year","Natural Sciences/Social Sciences","2","3","1","1","1","3","1","3","3","2","3","2","3"
"2025/09/13 8:28:36 pm GMT+5","20 - 22","Female","Second Year","IT/CS/Software/AI","2","2","2","3","2","3","1","1","0","1","2","1","2"
"2025/09/13 8:59:30 pm GMT+5","17 - 19","Female","Second Year","IT/CS/Software/AI","0","0","1","0","1","3","0","1","0","0","1","0","0"
"2025/09/13 9:02:26 pm GMT+5","20 - 22","Female","Third Year","Natural Sciences/Social Sciences","2","2","2","2","3","3","3","3","3","3","2","0","1"
"2025/09/13 9:05:20 pm GMT+5","17 - 19","Female","Second Year","Natural Sciences/Social Sciences","3","2","2","2","1","2","1","3","3","2","3","1","3"
"2025/09/13 9:11:17 pm GMT+5","17 - 19","Male","Second Year","IT/CS/Software/AI","2","1","3","1","3","3","2","2","0","0","2","0","1"
"2025/09/13 9:17:45 pm GMT+5","20 - 22","Female","Second Year","Natural Sciences/Social Sciences","3","1","2","2","1","2","1","1","0","0","2","0","3"
"2025/09/13 9:31:49 pm GMT+5","20 - 22","Female","Second Year","IT/CS/Software/AI","2","3","1","1","3","3","2","3","0","0","2","1","1"
"2025/09/13 11:17:19 pm GMT+5","20 - 22","Male","Second Year","IT/CS/Software/AI","2","2","2","2","2","2","1","2","1","2","2","3","3"
"2025/09/14 1:11:59 am GMT+5","20 - 22","Male","Second Year","Natural Sciences/Social Sciences","1","1","1","0","1","2","1","1","1","3","3","0","2"
"2025/09/14 1:43:31 pm GMT+5","20 - 22","Female","Second Year","IT/CS/Software/AI","1","2","1","2","3","2","1","3","2","3","2","1","1"
"2025/09/14 1:46:03 pm GMT+5","20 - 22","Female","Second Year","Natural Sciences/Social Sciences","3","0","0","0","0","3","0","3","3","3","3","3","3"
"2025/09/16 7:49:43 pm GMT+5","20 - 22","Male","Third Year","Business Administration","1","0","2","1","3","3","0","0","0","1","1","0","0"
"2025/09/18 11:15:37 pm GMT+5","20 - 22","Male","Fourth Year","IT/CS/Software/AI","1","2","1","2","3","3","1","1","2","0","1","2","2"
"2025/09/18 11:22:40 pm GMT+5","20 - 22","Male","Fourth Year","IT/CS/Software/AI","3","2","1","0","3","2","1","0","2","1","3","3","3"
"2025/09/19 12:00:06 am GMT+5","20 - 22","Male","First Year","IT/CS/Software/AI","2","1","2","1","1","3","2","2","1","2","3","2","1"
"2025/09/19 11:35:27 am GMT+5","17 - 20","Male","Third Year","Natural Sciences/Social Sciences","1","2","3","2","1","1","1","2","2","2","2","2","2"
"2025/09/19 2:21:41 pm GMT+5","17 - 20","Male","Second Year","IT/CS/Software/AI","0","2","2","1","3","2","2","3","3","3","3","3","3"
"2025/09/19 2:25:06 pm GMT+5","17 - 20","Female","Second Year","IT/CS/Software/AI","1","2","0","2","0","1","1","1","0","0","1","1","3"
"2025/09/19 2:31:00 pm GMT+5","17 - 20","Male","Second Year","IT/CS/Software/AI","1","2","1","0","3","3","1","3","3","3","2","3","3"
"2025/09/19 2:35:01 pm GMT+5","17 - 20","Male","Second Year","IT/CS/Software/AI","1","2","2","1","2","2","2","3","2","3","2","3","3"
"2025/09/19 3:17:41 pm GMT+5","17 - 20","Male","Second Year","IT/CS/Software/AI","1","3","2","0","3","2","3","1","3","1","1","2","0"
"2025/09/24 7:50:49 pm GMT+5","20 - 22","Male","Fourth Year","Natural Sciences/Social Sciences","1","2","3","1","2","3","1","2","2","2","2","1","1"
"2025/09/24 8:20:56 pm GMT+5","20 - 22","Male","Fourth Year","Natural Sciences/Social Sciences","2","3","3","3","2","3","2","2","2","2","2","1","3"
"2025/09/24 11:42:58 pm GMT+5","20 - 22","Male","Second Year","Natural Sciences/Social Sciences","1","1","1","0","3","3","0","3","3","0","2","3","2"
"2025/09/27 12:07:58 pm GMT+5","20 - 22","Male","Fourth Year","Business Administration","2","3","1","1","3","1","1","2","2","1","3","1","3"
"2025/09/27 12:12:02 pm GMT+5","23 - 25","Male","Fourth Year","Business Administration","3","2","2","2","1","1","2","3","3","3","2","1","1"
"2025/09/27 12:58:12 pm GMT+5","20 - 22","Female","Fourth Year","Natural Sciences/Social Sciences","2","2","1","0","2","2","1","1","1","2","1","1","0"
"2025/09/27 1:09:18 pm GMT+5","23 - 25","Female","Fourth Year","Natural Sciences/Social Sciences","2","2","1","1","2","3","1","0","0","3","2","2","2"
"2025/09/27 1:11:59 pm GMT+5","20 - 22","Female","Fourth Year","Natural Sciences/Social Sciences","2","3","3","0","3","3","0","3","0","3","3","3","1"
"2025/09/27 1:12:43 pm GMT+5","23 - 25","Male","Fourth Year","Natural Sciences/Social Sciences","1","1","0","0","0","0","0","0","1","1","1","1","1"
"2025/09/27 1:16:45 pm GMT+5","23 - 25","Male","Fourth Year","Business Administration","2","1","3","1","1","2","1","0","2","3","2","0","3"
"2025/09/27 1:26:41 pm GMT+5","17 - 20","Male","Third Year","IT/CS/Software/AI","0","1","1","1","1","1","0","0","1","1","0","1","0"
"2025/09/27 11:42:16 pm GMT+5","20 - 22","Male","Third Year","Business Administration","2","2","0","1","3","3","1","3","1","3","3","0","1"
"2025/10/08 12:21:54 pm GMT+5","20 - 22","Female","Third Year","IT/CS/Software/AI","3","3","2","3","3","2","0","3","1","2","3","3","3"
"2025/10/08 3:08:59 pm GMT+5","20 - 22","Female","Third Year","IT/CS/Software/AI","2","2","2","1","3","1","1","1","1","1","3","0","3"
"2025/10/10 4:14:35 pm GMT+5","17 - 20","Male","Third Year","IT/CS/Software/AI","3","3","3","2","3","0","3","3","1","1","3","0","3"
"2025/10/10 11:29:07 pm GMT+5","20 - 22","Female","Third Year","IT/CS/Software/AI","3","3","0","1","1","0","3","3","2","2","3","1","3"
"2025/10/11 1:53:58 pm GMT+5","23 - 25","Female","Fourth Year","Natural Sciences/Social Sciences","1","2","1","2","2","1","1","1","2","1","1","1","2"
"2025/10/11 6:34:39 pm GMT+5","20 - 22","Female","Third Year","Natural Sciences/Social Sciences","3","1","1","2","0","3","0","3","1","0","2","0","0"
"2025/10/21 12:34:40 pm GMT+5","23 - 25","Male","Fourth Year","IT/CS/Software/AI","1","1","2","0","1","3","1","2","2","2","2","1","1"
"2025/10/21 12:48:25 pm GMT+5","17 - 20","Male","Second Year","IT/CS/Software/AI","2","2","2","1","1","2","1","2","2","1","2","1","2"
"2025/10/21 12:55:43 pm GMT+5","17 - 20","Male","Third Year","IT/CS/Software/AI","2","2","1","1","1","1","0","1","2","3","1","2","2"
"2025/10/21 12:57:15 pm GMT+5","23 - 25","Male","Fourth Year","Natural Sciences/Social Sciences","0","0","1","0","0","1","0","3","3","3","0","0","1"
"2025/10/21 1:17:11 pm GMT+5","23 - 25","Female","Fourth Year","IT/CS/Software/AI","2","1","0","2","1","3","0","2","1","1","2","2","3"
"2025/10/21 1:18:45 pm GMT+5","17 - 20","Male","Second Year","IT/CS/Software/AI","1","0","2","0","0","3","2","0","3","0","2","2","3"
"2025/10/21 1:37:01 pm GMT+5","23 - 25","Male","Fourth Year","Civil/Mechanical Engineering","1","1","2","1","1","3","2","1","1","2","2","1","2"
"2025/10/21 3:01:40 pm GMT+5","23 - 25","Male","Fourth Year","IT/CS/Software/AI","1","2","3","1","2","3","1","2","1","1","2","1","2"
"2025/10/21 5:36:21 pm GMT+5","23 - 25","Female","Fourth Year","IT/CS/Software/AI","2","2","2","1","3","3","3","3","3","3","3","2","2"
"2025/10/21 6:39:56 pm GMT+5","23 - 25","Female","Fourth Year","IT/CS/Software/AI","3","3","2","3","3","3","3","2","1","0","3","3","1"
"2025/10/21 6:50:15 pm GMT+5","23 - 25","Male","Fourth Year","IT/CS/Software/AI","2","2","1","2","2","1","1","2","1","1","2","2","2"
"2025/10/22 12:09:11 am GMT+5","23 - 25","Male","Fourth Year","Business Administration","0","1","2","1","2","2","1","1","1","2","3","0","1"
"2025/10/22 3:23:58 am GMT+5","20 - 22","Female","Fourth Year","Natural Sciences/Social Sciences","3","2","2","3","2","2","1","2","2","1","2","1","1"
"2025/10/22 9:55:26 am GMT+5","17 - 20","Female","Second Year","Natural Sciences/Social Sciences","1","1","1","1","3","1","1","2","2","1","2","1","2"
"2025/10/22 11:05:30 am GMT+5","23 - 25","Female","Fourth Year","Natural Sciences/Social Sciences","1","1","1","1","3","3","2","3","3","3","3","0","3"
"2025/10/23 1:54:34 pm GMT+5","23 - 25","Female","Fourth Year","IT/CS/Software/AI","3","2","2","3","3","3","2","3","3","3","3","3","3"