Age,Gender,Year of Study,Discipline/Field,anxiety_level,self_esteem,depression,headache,sleep_quality,noise_level,living_conditions,basic_needs,peer_pressure,study_load,teacher_student_relationship,future_career_concerns,social_support
20 - 22,Male,Second Year,CS,2,2,1,1,2,3,1,2,2,2,2,2,1
20 - 22,Female,Second Year,COMPUTER SCIENCE,2,2,1,1,3,3,3,3,1,2,2,3,3
20 - 22,Male,Second Year,CS,3,2,2,3,3,3,3,3,1,3,2,3,0
20 - 22,Female,Second Year,COMPUTER SCIENCE,2,2,3,1,1,3,1,3,3,2,2,2,2
20 - 22,Female,Second Year,CS,2,1,1,1,3,2,3,2,0,3,0,3,3
23 - 25,Male,Second Year,COMPUTER SCIENCE,3,0,1,3,3,3,0,0,2,3,3,3,3
20 - 22,Male,Second Year,CS,2,2,1,1,2,2,0,0,1,1,2,1,3
20 - 22,Male,Second Year,IT/CS/SOFTWARE/AI,3,2,1,3,3,3,3,2,3,3,3,3,3
20 - 22,Male,Second Year,IT/CS/SOFTWARE/AI,2,2,3,2,3,3,3,3,3,2,3,3,3
20 - 22,Male,Second Year,IT/CS/SOFTWARE/AI,2,1,0,0,0,2,1,0,0,2,1,1,3
20 - 22,Male,Second Year,IT/CS/SOFTWARE/AI,3,3,2,1,1,1,0,0,2,3,0,3,0
20 - 22,Female,Second Year,IT/CS/SOFTWARE/AI,2,3,1,1,3,3,1,3,2,2,1,3,2
20 - 22,Male,Second Year,IT/CS/SOFTWARE/AI,2,3,0,0,3,3,2,1,3,2,0,3,3
17 - 19,Female,Second Year,IT/CS/SOFTWARE/AI,3,1,2,3,2,3,1,2,2,2,3,3,3
17 - 19,Female,Second Year,IT/CS/SOFTWARE/AI,2,0,2,3,2,1,2,0,1,0,0,3,3
20 - 22,Female,First Year,IT/CS/SOFTWARE/AI,3,1,1,2,1,0,1,2,2,1,3,1,3
20 - 22,Female,Second Year,NATURAL SCIENCES/SOCIAL SCIENCES,3,2,2,2,2,2,2,1,3,2,2,3,3
20 - 22,Male,Second Year,IT/CS/SOFTWARE/AI,3,1,1,0,3,0,0,0,1,2,1,0,3
20 - 22,Female,Second Year,IT/CS/SOFTWARE/AI,1,1,2,1,1,2,3,1,3,2,3,2,3
20 - 22,Female,Second Year,NATURAL SCIENCES/SOCIAL SCIENCES,3,3,1,0,3,3,3,3,0,3,1,3,3
20 - 22,Female,Second Year,NATURAL SCIENCES/SOCIAL SCIENCES,3,2,2,1,1,3,2,3,1,2,2,3,2
20 - 22,Female,Second Year,NATURAL SCIENCES/SOCIAL SCIENCES,1,2,3,1,2,3,3,2,3,3,1,3,2
17 - 19,Female,Second Year,IT/CS/SOFTWARE/AI,3,1,3,3,2,3,3,1,3,3,3,3,1
20 - 22,Female,Fourth Year,NATURAL SCIENCES/SOCIAL SCIENCES,3,2,3,2,3,3,3,3,1,3,2,3,3
20 - 22,Male,Second Year,IT/CS/SOFTWARE/AI,0,2,3,0,3,1,2,0,1,1,0,0,2
20 - 22,Female,Second Year,NATURAL SCIENCES/SOCIAL SCIENCES,3,2,3,2,3,2,0,1,2,3,2,3,1
20 - 22,Female,Second Year,NATURAL SCIENCES/SOCIAL SCIENCES,1,0,1,2,0,2,2,1,2,3,1,2,2
23 - 25,Male,Fourth Year,NATURAL SCIENCES/SOCIAL SCIENCES,2,3,2,1,2,2,2,1,0,3,2,2,2
20 - 22,Female,Second Year,IT/CS/SOFTWARE/AI,3,3,1,3,0,3,2,0,3,1,2,0,1
20 - 22,Female,First Year,NATURAL SCIENCES/SOCIAL SCIENCES,3,0,2,1,1,1,0,0,2,0,1,1,2
20 - 22,Male,Second Year,IT/CS/SOFTWARE/AI,1,3,2,0,1,0,0,0,0,0,1,0,3
20 - 22,Male,Fourth Year,NATURAL SCIENCES/SOCIAL SCIENCES,1,3,1,1,1,2,2,3,0,2,1,2,3
17 - 19,Female,Second Year,CIVIL/MECHANICAL ENGINEERING,1,1,2,1,1,2,1,2,1,2,1,0,3
20 - 22,Female,Second Year,NATURAL SCIENCES/SOCIAL SCIENCES,3,1,2,3,2,3,2,3,3,3,3,3,3
20 - 22,Female,First Year,NATURAL SCIENCES/SOCIAL SCIENCES,2,1,3,1,1,3,3,2,1,3,2,3,3
20 - 22,Female,Second Year,IT/CS/SOFTWARE/AI,2,2,2,3,2,1,0,1,1,2,1,2,3
17 - 19,Female,Second Year,IT/CS/SOFTWARE/AI,0,1,0,0,1,1,0,0,0,1,0,0,3
20 - 22,Female,Third Year,NATURAL SCIENCES/SOCIAL SCIENCES,2,2,2,2,3,3,3,3,3,2,0,1,3
17 - 19,Female,Second Year,NATURAL SCIENCES/SOCIAL SCIENCES,3,2,2,2,1,3,3,2,1,3,1,3,2
17 - 19,Male,Second Year,IT/CS/SOFTWARE/AI,2,3,1,1,3,2,0,0,2,2,0,1,3
20 - 22,Female,Second Year,NATURAL SCIENCES/SOCIAL SCIENCES,3,2,1,2,1,1,0,0,1,2,0,3,2
20 - 22,Female,Second Year,IT/CS/SOFTWARE/AI,2,1,3,1,3,3,0,0,2,2,1,1,3
20 - 22,Male,Second Year,IT/CS/SOFTWARE/AI,2,2,2,2,2,2,1,2,1,2,3,3,2
20 - 22,Male,Second Year,NATURAL SCIENCES/SOCIAL SCIENCES,1,1,1,0,1,1,1,3,1,3,0,2,2
20 - 22,Female,Second Year,IT/CS/SOFTWARE/AI,1,1,2,2,3,3,2,3,1,2,1,1,2
20 - 22,Female,Second Year,NATURAL SCIENCES/SOCIAL SCIENCES,3,0,0,0,0,3,3,3,0,3,3,3,3
20 - 22,Male,Third Year,BUSINESS ADMINISTRATION,1,2,0,1,3,0,0,1,0,1,0,0,3
20 - 22,Male,Fourth Year,IT/CS/SOFTWARE/AI,1,1,2,2,3,1,2,0,1,1,2,2,3
20 - 22,Male,Fourth Year,IT/CS/SOFTWARE/AI,3,1,2,0,3,0,2,1,1,3,3,3,2
20 - 22,Male,First Year,IT/CS/SOFTWARE/AI,2,2,1,1,1,2,1,2,2,3,2,1,3
17 - 20,Male,Third Year,NATURAL SCIENCES/SOCIAL SCIENCES,1,3,2,2,1,2,2,2,1,2,2,2,1
17 - 20,Male,Second Year,IT/CS/SOFTWARE/AI,0,2,2,1,3,3,3,3,2,3,3,3,2
17 - 20,Female,Second Year,IT/CS/SOFTWARE/AI,1,0,2,2,0,1,0,0,1,1,1,3,1
17 - 20,Male,Second Year,IT/CS/SOFTWARE/AI,1,1,2,0,3,3,3,3,1,2,3,3,3
17 - 20,Male,Second Year,IT/CS/SOFTWARE/AI,1,2,2,1,2,3,2,3,2,2,3,3,2
17 - 20,Male,Second Year,IT/CS/SOFTWARE/AI,1,2,3,0,3,1,3,1,3,1,2,0,2
20 - 22,Male,Fourth Year,NATURAL SCIENCES/SOCIAL SCIENCES,1,3,2,1,2,2,2,2,1,2,1,1,3
20 - 22,Male,Fourth Year,NATURAL SCIENCES/SOCIAL SCIENCES,2,3,3,3,2,2,2,2,2,2,1,3,3
20 - 22,Male,Second Year,NATURAL SCIENCES/SOCIAL SCIENCES,1,1,1,0,3,3,3,0,0,2,3,2,3
20 - 22,Male,Fourth Year,BUSINESS ADMINISTRATION,2,1,3,1,3,2,2,1,1,3,1,3,1
23 - 25,Male,Fourth Year,BUSINESS ADMINISTRATION,3,2,2,2,1,3,3,3,2,2,1,1,1
20 - 22,Female,Fourth Year,NATURAL SCIENCES/SOCIAL SCIENCES,2,1,2,0,2,1,1,2,1,1,1,0,2
23 - 25,Female,Fourth Year,NATURAL SCIENCES/SOCIAL SCIENCES,2,1,2,1,2,0,0,3,1,2,2,2,3
20 - 22,Female,Fourth Year,NATURAL SCIENCES/SOCIAL SCIENCES,2,3,3,0,3,3,0,3,0,3,3,1,3
23 - 25,Male,Fourth Year,NATURAL SCIENCES/SOCIAL SCIENCES,1,0,1,0,0,0,1,1,0,1,1,1,0
23 - 25,Male,Fourth Year,BUSINESS ADMINISTRATION,2,3,1,1,1,0,2,3,1,2,0,3,2
17 - 20,Male,Third Year,IT/CS/SOFTWARE/AI,0,1,1,1,1,0,1,1,0,0,1,0,1
20 - 22,Male,Third Year,BUSINESS ADMINISTRATION,2,0,2,1,3,3,1,3,1,3,0,1,3
20 - 22,Female,Third Year,IT/CS/SOFTWARE/AI,3,2,3,3,3,3,1,2,0,3,3,3,2
20 - 22,Female,Third Year,IT/CS/SOFTWARE/AI,2,2,2,1,3,1,1,1,1,3,0,3,1
17 - 20,Male,Third Year,IT/CS/SOFTWARE/AI,3,3,3,2,3,3,1,1,3,3,0,3,0
20 - 22,Female,Third Year,IT/CS/SOFTWARE/AI,3,0,3,1,1,3,2,2,3,3,1,3,0
23 - 25,Female,Fourth Year,NATURAL SCIENCES/SOCIAL SCIENCES,1,1,2,2,2,1,2,1,1,1,1,2,1
20 - 22,Female,Third Year,NATURAL SCIENCES/SOCIAL SCIENCES,3,1,1,2,0,3,1,0,0,2,0,0,3
23 - 25,Male,Fourth Year,IT/CS/SOFTWARE/AI,1,2,1,0,1,2,2,2,1,2,1,1,3
17 - 20,Male,Second Year,IT/CS/SOFTWARE/AI,2,2,2,1,1,2,2,1,1,2,1,2,2
17 - 20,Male,Third Year,IT/CS/SOFTWARE/AI,2,1,2,1,1,1,2,3,0,1,2,2,1
23 - 25,Male,Fourth Year,NATURAL SCIENCES/SOCIAL SCIENCES,0,1,0,0,0,3,3,3,0,0,0,1,1
23 - 25,Female,Fourth Year,IT/CS/SOFTWARE/AI,2,0,1,2,1,2,1,1,0,2,2,3,3
17 - 20,Male,Second Year,IT/CS/SOFTWARE/AI,1,2,0,0,0,0,3,0,2,2,2,3,3
23 - 25,Male,Fourth Year,CIVIL/MECHANICAL ENGINEERING,1,2,1,1,1,1,1,2,2,2,1,2,3
23 - 25,Male,Fourth Year,IT/CS/SOFTWARE/AI,1,3,2,1,2,2,1,1,1,2,1,2,3
23 - 25,Female,Fourth Year,IT/CS/SOFTWARE/AI,2,2,2,1,3,3,3,3,3,3,2,2,3
23 - 25,Female,Fourth Year,IT/CS/SOFTWARE/AI,3,2,3,3,3,2,1,0,3,3,3,1,3
23 - 25,Male,Fourth Year,IT/CS/SOFTWARE/AI,2,1,2,2,2,2,1,1,1,2,2,2,1
23 - 25,Male,Fourth Year,BUSINESS ADMINISTRATION,0,2,1,1,2,1,1,2,1,3,0,1,2
20 - 22,Female,Fourth Year,NATURAL SCIENCES/SOCIAL SCIENCES,3,2,2,3,2,2,2,1,1,2,1,1,2
17 - 20,Female,Second Year,NATURAL SCIENCES/SOCIAL SCIENCES,1,1,1,1,3,2,2,1,1,2,1,2,1
23 - 25,Female,Fourth Year,NATURAL SCIENCES/SOCIAL SCIENCES,1,1,1,1,3,3,3,3,2,3,0,3,3
23 - 25,Female,Fourth Year,IT/CS/SOFTWARE/AI,3,2,2,3,3,3,3,3,2,3,3,3,3
17 - 20,Male,First Year,NATURAL SCIENCES/SOCIAL SCIENCES,1,1,1,1,1,1,1,1,1,1,1,1,1
23 - 25,Male,First Year,IT/CS/SOFTWARE/AI,1,1,1,1,1,1,1,1,1,1,1,1,1
20 - 22,Female,Third Year,NATURAL SCIENCES/SOCIAL SCIENCES,3,3,1,2,0,1,3,2,0,1,0,3,3
17 - 20,Male,Second Year,BUSINESS ADMINISTRATION,0,2,1,0,3,0,2,2,2,3,2,3,3
23 - 25,Male,Fourth Year,IT/CS/SOFTWARE/AI,0,3,0,0,0,1,0,1,0,0,0,0,3
20 - 22,Male,Second Year,NATURAL SCIENCES/SOCIAL SCIENCES,2,3,2,2,1,3,3,3,0,2,2,2,2
23 - 25,Female,Fourth Year,NATURAL SCIENCES/SOCIAL SCIENCES,2,3,1,2,3,3,3,3,1,2,0,2,1
21,Male,Third Year,IT/CS/SOFTWARE/AI,3,3,0,1,3,3,1,1,1,1,0,3,2
24,Male,Second Year,IT/CS/SOFTWARE/AI,1,1,1,1,3,3,0,1,1,2,3,3,3
24,Male,Second Year,IT/CS/SOFTWARE/AI,3,2,2,3,3,1,1,0,3,2,2,2,2
23,Female,Second Year,IT/CS/SOFTWARE/AI,3,1,3,1,1,3,2,3,3,3,2,2,1
19,Male,Fourth Year,IT/CS/SOFTWARE/AI,2,1,2,3,3,0,0,0,3,3,1,3,3
20,Male,Fourth Year,IT/CS/SOFTWARE/AI,2,2,2,3,1,3,1,2,1,1,0,3,2
18,Female,Second Year,IT/CS/SOFTWARE/AI,3,2,1,0,0,1,3,3,2,1,2,3,3
21,Male,Second Year,IT/CS/SOFTWARE/AI,2,2,2,1,3,2,1,2,1,2,0,1,3
22,Male,Second Year,IT/CS/SOFTWARE/AI,2,1,2,1,1,0,1,1,1,1,3,1,3
24,Male,Second Year,IT/CS/SOFTWARE/AI,3,1,1,0,2,3,3,0,2,3,2,3,1
21,Female,Second Year,IT/CS/SOFTWARE/AI,2,2,1,2,1,0,1,3,2,3,1,2,1
20,Female,Second Year,IT/CS/SOFTWARE/AI,0,2,2,0,2,2,0,2,2,2,2,3,1
20,Female,Fourth Year,IT/CS/SOFTWARE/AI,3,1,1,0,3,1,1,3,0,1,0,2,2
22,Female,Second Year,IT/CS/SOFTWARE/AI,3,3,2,1,3,0,2,3,0,3,1,0,0
23,Female,Fourth Year,IT/CS/SOFTWARE/AI,2,1,2,0,0,3,1,3,1,2,2,1,2
24,Female,Second Year,IT/CS/SOFTWARE/AI,1,2,2,2,2,1,0,0,3,0,1,1,2
24,Female,Second Year,IT/CS/SOFTWARE/AI,3,2,2,2,0,3,1,0,2,2,1,3,3
18,Male,First Year,IT/CS/SOFTWARE/AI,2,0,3,2,3,2,1,1,3,2,2,0,3
18,Male,Second Year,IT/CS/SOFTWARE/AI,2,3,0,0,0,1,1,2,3,2,2,1,2
18,Male,Second Year,IT/CS/SOFTWARE/AI,3,1,2,0,3,1,1,1,1,2,3,2,3
23,Female,Third Year,IT/CS/SOFTWARE/AI,0,3,1,0,1,3,2,3,2,2,2,3,0
19,Female,Second Year,IT/CS/SOFTWARE/AI,3,1,2,1,0,3,1,0,2,1,1,1,2
19,Male,Third Year,IT/CS/SOFTWARE/AI,2,2,2,3,3,2,2,3,3,3,2,3,1
18,Male,Third Year,IT/CS/SOFTWARE/AI,1,1,1,0,0,3,2,3,1,2,3,1,3
22,Male,Second Year,IT/CS/SOFTWARE/AI,2,2,3,0,1,3,3,3,3,1,0,3,1
22,Male,Third Year,IT/CS/SOFTWARE/AI,1,1,3,3,3,1,1,0,2,2,1,3,3
22,Female,Fourth Year,IT/CS/SOFTWARE/AI,1,2,2,0,1,3,1,3,1,1,1,2,3
24,Female,Fourth Year,IT/CS/SOFTWARE/AI,1,2,2,3,2,0,1,0,3,3,1,3,3
20,Female,Second Year,IT/CS/SOFTWARE/AI,2,3,2,3,3,0,1,2,1,2,1,3,3
19,Female,Third Year,IT/CS/SOFTWARE/AI,2,1,3,1,3,3,1,1,0,0,3,3,1
24,Male,Second Year,IT/CS/SOFTWARE/AI,3,2,2,2,1,3,2,2,2,2,0,3,3
19,Female,Fourth Year,IT/CS/SOFTWARE/AI,3,2,2,1,2,3,3,3,1,1,3,3,3
19,Male,Fourth Year,IT/CS/SOFTWARE/AI,1,1,2,3,3,3,1,1,1,2,3,0,2
24,Male,Second Year,IT/CS/SOFTWARE/AI,2,2,0,1,0,2,2,1,0,2,1,0,1
19,Female,Second Year,IT/CS/SOFTWARE/AI,0,1,2,0,2,0,3,1,2,1,2,0,3
24,Female,Second Year,IT/CS/SOFTWARE/AI,3,3,2,2,1,3,1,2,3,2,1,3,1
19,Male,Second Year,IT/CS/SOFTWARE/AI,2,0,3,1,2,0,2,3,1,2,0,1,1
20,Female,Third Year,IT/CS/SOFTWARE/AI,0,2,0,0,3,0,0,0,2,2,0,0,3
21,Male,Second Year,IT/CS/SOFTWARE/AI,1,2,1,1,1,0,1,1,0,1,3,3,3
21,Male,Second Year,IT/CS/SOFTWARE/AI,2,2,0,2,3,3,1,1,2,1,1,1,1
18,Male,Second Year,IT/CS/SOFTWARE/AI,1,0,0,2,3,2,0,1,2,2,1,3,2
21,Female,Second Year,IT/CS/SOFTWARE/AI,3,1,0,1,3,2,1,3,1,3,0,3,1
19,Female,Second Year,IT/CS/SOFTWARE/AI,0,1,2,1,2,3,2,1,3,3,1,3,3
20,Male,Second Year,IT/CS/SOFTWARE/AI,3,2,3,3,3,3,1,2,1,2,1,1,3
21,Female,Third Year,IT/CS/SOFTWARE/AI,2,1,3,1,3,0,2,1,0,2,1,3,2
23,Male,Fourth Year,IT/CS/SOFTWARE/AI,3,1,1,1,2,3,2,2,1,0,2,1,2
23,Male,Fourth Year,IT/CS/SOFTWARE/AI,2,1,2,1,1,2,3,0,0,2,3,2,0
21,Male,Second Year,IT/CS/SOFTWARE/AI,0,1,0,0,3,1,2,0,1,2,0,2,3
22,Female,Second Year,IT/CS/SOFTWARE/AI,1,3,1,2,3,1,0,1,3,3,0,0,1
24,Female,Fourth Year,IT/CS/SOFTWARE/AI,1,3,3,3,3,0,1,2,3,2,2,3,3
22,Male,Second Year,IT/CS/SOFTWARE/AI,2,1,2,0,3,3,3,3,3,2,1,2,2
24,Male,Second Year,IT/CS/SOFTWARE/AI,2,1,0,2,3,1,3,3,0,0,0,3,0
24,Male,Second Year,IT/CS/SOFTWARE/AI,1,1,2,1,1,2,0,1,2,3,0,3,3
21,Male,Second Year,IT/CS/SOFTWARE/AI,1,2,2,0,3,2,3,3,2,1,3,3,3
23,Female,Third Year,IT/CS/SOFTWARE/AI,2,2,3,1,2,2,0,0,1,3,0,3,3
18,Male,Fourth Year,IT/CS/SOFTWARE/AI,1,2,0,1,0,1,1,2,3,1,0,3,2
19,Female,Second Year,IT/CS/SOFTWARE/AI,1,1,3,1,1,2,1,1,2,0,2,3,1
19,Male,Fourth Year,IT/CS/SOFTWARE/AI,2,0,1,0,1,3,1,3,3,1,2,0,3
20,Male,Second Year,IT/CS/SOFTWARE/AI,2,3,1,1,3,2,3,2,0,1,1,3,3
21,Female,Second Year,IT/CS/SOFTWARE/AI,1,3,3,2,3,0,1,2,1,3,2,1,1
19,Male,Second Year,IT/CS/SOFTWARE/AI,2,1,2,3,2,1,0,2,2,3,0,3,3
19,Male,Fourth Year,IT/CS/SOFTWARE/AI,2,1,1,1,2,3,2,2,1,3,2,3,0
19,Female,Second Year,IT/CS/SOFTWARE/AI,2,1,2,2,1,1,2,1,1,3,3,3,3
24,Female,Second Year,IT/CS/SOFTWARE/AI,1,1,2,1,2,3,3,1,0,2,0,3,1
20,Male,Third Year,IT/CS/SOFTWARE/AI,1,2,2,0,1,3,1,3,1,1,0,0,3
18,Male,First Year,IT/CS/SOFTWARE/AI,2,1,1,0,3,3,2,3,1,3,1,2,0
22,Female,Fourth Year,IT/CS/SOFTWARE/AI,2,2,2,0,3,1,1,1,1,3,1,3,2
19,Male,Second Year,IT/CS/SOFTWARE/AI,1,2,2,1,3,3,0,0,2,2,0,3,2
18,Male,Second Year,IT/CS/SOFTWARE/AI,1,2,2,0,3,3,2,1,1,2,3,1,3
18,Male,Second Year,IT/CS/SOFTWARE/AI,3,2,0,1,2,1,1,0,1,2,0,0,1
22,Male,Second Year,IT/CS/SOFTWARE/AI,1,3,0,0,3,1,2,2,3,3,1,0,3
24,Male,Third Year,IT/CS/SOFTWARE/AI,0,3,0,2,3,1,1,1,1,2,3,3,2
18,Male,Fourth Year,IT/CS/SOFTWARE/AI,1,1,2,2,3,2,2,1,3,3,2,1,3
22,Female,Second Year,IT/CS/SOFTWARE/AI,1,2,2,1,2,2,3,1,1,2,1,2,0
23,Male,Second Year,IT/CS/SOFTWARE/AI,0,2,1,1,1,0,2,1,0,2,1,3,3
21,Male,Fourth Year,IT/CS/SOFTWARE/AI,3,3,2,1,3,0,0,2,2,1,1,3,3
18,Male,Second Year,IT/CS/SOFTWARE/AI,2,2,2,1,3,0,2,1,2,2,1,0,0
23,Male,Second Year,IT/CS/SOFTWARE/AI,2,1,2,0,3,3,0,0,1,2,2,3,3
19,Male,Second Year,IT/CS/SOFTWARE/AI,1,2,1,0,3,1,2,2,1,3,3,3,3
22,Male,Second Year,IT/CS/SOFTWARE/AI,3,2,1,1,3,2,2,2,0,3,3,3,3
21,Female,First Year,IT/CS/SOFTWARE/AI,2,1,2,3,2,3,2,3,2,2,3,3,3
23,Male,Second Year,IT/CS/SOFTWARE/AI,2,2,1,1,0,3,3,1,3,3,0,1,2
23,Female,First Year,IT/CS/SOFTWARE/AI,1,1,2,0,2,3,3,2,3,2,2,1,2
19,Female,Second Year,IT/CS/SOFTWARE/AI,2,3,2,1,1,1,2,2,1,2,1,2,3
22,Female,Second Year,IT/CS/SOFTWARE/AI,3,0,1,1,0,2,1,1,2,2,1,2,1
22,Male,Second Year,IT/CS/SOFTWARE/AI,1,2,2,0,0,3,2,1,0,2,1,3,3
21,Female,Second Year,IT/CS/SOFTWARE/AI,2,0,2,3,3,2,0,2,1,3,2,3,3
20,Female,Fourth Year,IT/CS/SOFTWARE/AI,0,1,2,1,3,2,0,0,3,2,3,0,3
22,Male,Second Year,IT/CS/SOFTWARE/AI,3,1,3,1,0,1,1,0,3,2,1,0,3
18,Male,First Year,IT/CS/SOFTWARE/AI,3,1,2,0,2,3,1,2,2,3,1,0,1
22,Female,Second Year,IT/CS/SOFTWARE/AI,2,3,3,0,3,1,0,1,0,3,3,3,1
23,Male,Second Year,IT/CS/SOFTWARE/AI,0,2,3,0,1,3,0,3,3,3,1,2,3
19,Female,Fourth Year,IT/CS/SOFTWARE/AI,3,1,0,1,3,2,0,1,1,3,3,3,3
18,Male,Fourth Year,IT/CS/SOFTWARE/AI,0,1,2,1,3,1,3,1,1,0,2,2,1
20,Female,Second Year,IT/CS/SOFTWARE/AI,2,3,1,0,3,1,3,1,1,0,0,3,2
23,Male,Second Year,IT/CS/SOFTWARE/AI,1,0,2,1,3,1,1,3,1,2,3,2,2
18,Female,Second Year,IT/CS/SOFTWARE/AI,3,2,2,3,3,0,3,3,1,2,3,3,2
20,Male,Fourth Year,IT/CS/SOFTWARE/AI,3,1,2,1,3,3,1,3,2,0,1,1,3
22,Female,Second Year,IT/CS/SOFTWARE/AI,2,2,3,3,3,0,1,1,3,3,0,3,3
22,Male,Second Year,IT/CS/SOFTWARE/AI,1,1,2,0,2,2,1,1,3,2,3,1,3
18,Female,Second Year,IT/CS/SOFTWARE/AI,2,3,2,2,1,3,1,0,3,3,0,0,3
18,Male,Second Year,IT/CS/SOFTWARE/AI,2,3,2,1,1,0,3,3,1,3,3,2,2
24,Female,Second Year,IT/CS/SOFTWARE/AI,1,2,1,1,1,2,3,1,2,3,3,2,0
24,Male,Third Year,IT/CS/SOFTWARE/AI,3,1,1,3,0,3,0,1,1,2,3,3,1
21,Female,Second Year,IT/CS/SOFTWARE/AI,2,2,3,0,1,3,3,1,3,3,2,0,3
19,Female,Second Year,IT/CS/SOFTWARE/AI,3,2,2,1,3,0,0,0,0,1,3,3,2
22,Female,First Year,IT/CS/SOFTWARE/AI,3,2,3,1,2,3,2,1,1,2,2,2,2
18,Female,Fourth Year,IT/CS/SOFTWARE/AI,2,2,1,0,3,2,1,0,1,2,3,3,3
21,Male,Second Year,IT/CS/SOFTWARE/AI,3,3,2,1,2,3,3,2,2,2,3,2,3
23,Male,Fourth Year,IT/CS/SOFTWARE/AI,1,1,3,2,2,1,1,3,0,3,3,3,1
19,Male,Second Year,IT/CS/SOFTWARE/AI,2,3,2,2,1,1,1,3,3,2,1,1,3
19,Male,Fourth Year,IT/CS/SOFTWARE/AI,2,1,2,0,3,3,3,2,1,1,1,3,3
19,Female,Second Year,IT/CS/SOFTWARE/AI,1,1,2,1,3,3,1,0,3,3,3,2,3
20,Female,Third Year,IT/CS/SOFTWARE/AI,3,1,2,1,1,1,1,1,3,3,1,3,3
19,Female,Second Year,IT/CS/SOFTWARE/AI,3,1,0,3,3,2,0,0,3,3,3,1,3
19,Male,Fourth Year,IT/CS/SOFTWARE/AI,2,2,3,2,2,3,3,1,0,2,3,2,1
19,Male,Third Year,IT/CS/SOFTWARE/AI,1,3,3,2,3,3,1,2,0,2,2,3,3
24,Male,Second Year,IT/CS/SOFTWARE/AI,3,2,2,0,0,2,1,2,2,2,3,0,3
19,Male,Fourth Year,IT/CS/SOFTWARE/AI,1,1,0,1,3,3,2,1,1,2,1,3,3
18,Male,Second Year,IT/CS/SOFTWARE/AI,3,2,3,3,1,3,3,0,1,1,1,3,3
22,Male,Second Year,IT/CS/SOFTWARE/AI,2,1,2,3,1,3,3,0,3,2,2,1,1
21,Male,Third Year,IT/CS/SOFTWARE/AI,2,0,2,2,2,2,1,2,2,3,0,3,2
20,Male,First Year,IT/CS/SOFTWARE/AI,3,2,1,3,3,2,2,1,1,3,2,1,3
19,Male,First Year,IT/CS/SOFTWARE/AI,1,2,3,1,3,3,1,1,3,2,2,2,2
18,Male,Second Year,IT/CS/SOFTWARE/AI,2,0,2,0,1,1,1,3,3,2,3,0,2
23,Female,First Year,IT/CS/SOFTWARE/AI,0,2,1,0,3,0,0,1,1,2,2,2,1
19,Male,First Year,IT/CS/SOFTWARE/AI,2,2,2,1,1,0,2,0,2,0,3,3,3
18,Male,Second Year,IT/CS/SOFTWARE/AI,0,1,1,2,0,3,2,3,2,3,1,2,3
24,Female,Fourth Year,IT/CS/SOFTWARE/AI,0,1,2,1,3,2,0,3,2,0,3,2,1
19,Female,Second Year,IT/CS/SOFTWARE/AI,1,2,0,0,0,1,3,1,2,3,0,0,2
